date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,optionid,index_flag,issuer,div_convention,exercise_style
2014-03-03,2014-03-07,P,485000,0.06,0.07,416,1025,0.402916,102646519,0,APPLE INC,,A
2014-03-03,2014-03-07,P,487500,0.08,0.09,230,287,0.395166,102646520,0,APPLE INC,,A
2014-03-03,2014-03-07,P,490000,0.09,0.1,847,1187,0.3788,102646521,0,APPLE INC,,A
2014-03-03,2014-03-07,P,492500,0.11,0.12,202,302,0.366353,102646522,0,APPLE INC,,A
2014-03-03,2014-03-07,P,495000,0.13,0.15,248,1355,0.353869,102646523,0,APPLE INC,,A
2014-03-03,2014-03-07,P,497500,0.16,0.17,310,559,0.339176,102646524,0,APPLE INC,,A
2014-03-03,2014-03-07,P,500000,0.21,0.22,2618,2724,0.329768,102646525,0,APPLE INC,,A
2014-03-03,2014-03-07,P,502500,0.25,0.26,2100,997,0.31442,102646526,0,APPLE INC,,A
2014-03-03,2014-03-07,P,505000,0.3,0.32,2545,2515,0.299924,102646527,0,APPLE INC,,A
2014-03-03,2014-03-07,P,507500,0.39,0.4,957,1234,0.287797,102646528,0,APPLE INC,,A
2014-03-03,2014-03-07,P,510000,0.5,0.53,4532,2993,0.276673,102646529,0,APPLE INC,,A
2014-03-03,2014-03-07,P,512500,0.69,0.72,3197,1603,0.268838,102646530,0,APPLE INC,,A
2014-03-03,2014-03-07,P,515000,0.97,1,6149,2563,0.263121,102646531,0,APPLE INC,,A
2014-03-03,2014-03-07,P,517500,1.37,1.41,4058,1381,0.259552,102646532,0,APPLE INC,,A
2014-03-03,2014-03-07,P,520000,1.94,1.99,7693,3220,0.258594,102646533,0,APPLE INC,,A
2014-03-03,2014-03-07,P,522500,2.68,2.75,4056,1273,0.258219,102646534,0,APPLE INC,,A
2014-03-03,2014-03-07,P,525000,3.6,3.7,10465,3582,0.257857,102646535,0,APPLE INC,,A
2014-03-03,2014-03-07,P,527500,4.8,4.9,5042,1397,0.26102,102646536,0,APPLE INC,,A
2014-03-03,2014-03-07,P,530000,6.1,6.25,6845,2873,0.26023,102646537,0,APPLE INC,,A
2014-03-03,2014-03-07,P,532500,7.65,7.85,1674,849,0.262432,102646538,0,APPLE INC,,A
2014-03-03,2014-03-07,P,535000,9.35,9.65,1302,1118,0.264559,102646539,0,APPLE INC,,A
2014-03-03,2014-03-07,P,537500,11.35,11.65,212,340,0.27308,102646540,0,APPLE INC,,A
2014-03-03,2014-03-07,P,540000,13.45,13.95,448,744,0.288523,102646541,0,APPLE INC,,A
2014-03-03,2014-03-07,P,542500,15.7,16.15,24,281,0.300498,102646542,0,APPLE INC,,A
2014-03-03,2014-03-07,P,545000,17.95,18.45,23,369,0.3116,102646543,0,APPLE INC,,A
2014-03-03,2014-03-07,P,547500,20.35,20.85,16,113,0.331229,102646544,0,APPLE INC,,A
2014-03-03,2014-03-07,P,550000,22.8,23.3,20,563,0.354399,102646545,0,APPLE INC,,A
2014-03-03,2014-03-07,P,552500,25.1,26.35,0,84,0.402905,102646546,0,APPLE INC,,A
2014-03-03,2014-03-07,P,555000,27.65,28.2,5,46,0.393192,102878182,0,APPLE INC,,A
2014-03-03,2014-03-07,P,557500,30,31.35,0,2,0.452751,102878183,0,APPLE INC,,A
2014-03-03,2014-03-07,P,560000,32.5,33.45,0,574,0.452493,102646547,0,APPLE INC,,A
2014-03-03,2014-03-07,P,562500,34.95,36.35,10,15,0.502894,102878184,0,APPLE INC,,A
2014-03-03,2014-03-07,P,565000,37.45,38.45,0,53,0.499364,102878185,0,APPLE INC,,A
2014-03-03,2014-03-07,P,567500,39.65,41.15,0,0,0.51576,102878186,0,APPLE INC,,A
2014-03-03,2014-03-07,P,570000,42,44.1,0,84,0.564555,102646548,0,APPLE INC,,A
2014-03-03,2014-03-07,P,572500,44.3,46.05,0,13,0.518799,102878187,0,APPLE INC,,A
2014-03-03,2014-03-07,P,580000,52.1,54.1,2,28,0.66911,102646549,0,APPLE INC,,A
2014-03-03,2014-03-07,P,590000,62.15,64.05,0,38,0.761516,102646550,0,APPLE INC,,A
2014-03-03,2014-03-07,P,600000,72.15,74.05,0,3,0.850231,102646551,0,APPLE INC,,A
2014-03-03,2014-03-14,C,410000,116.05,118,0,0,,102687032,0,APPLE INC,,A
2014-03-03,2014-03-14,C,420000,106.05,107.8,0,0,,102687033,0,APPLE INC,,A
2014-03-03,2014-03-14,C,430000,96.05,97.8,0,0,,102687034,0,APPLE INC,,A
2014-03-03,2014-03-14,C,440000,86.05,87.95,0,0,,102687035,0,APPLE INC,,A
2014-03-03,2014-03-14,C,450000,76.05,77.8,0,0,,102687036,0,APPLE INC,,A
2014-03-03,2014-03-14,C,460000,66,68.15,2,9,,102687037,0,APPLE INC,,A
2014-03-03,2014-03-14,C,470000,56.05,57.85,0,4,,102687038,0,APPLE INC,,A
2014-03-03,2014-03-14,C,480000,46.05,48.05,0,2,,102687039,0,APPLE INC,,A
2014-03-03,2014-03-14,C,482500,43.6,45.6,0,0,,102707618,0,APPLE INC,,A
2014-03-03,2014-03-14,C,485000,41.05,43.45,0,18,,102707619,0,APPLE INC,,A
2014-03-03,2014-03-14,C,487500,38.6,40.7,0,0,,102707620,0,APPLE INC,,A
2014-03-03,2014-03-14,C,490000,36.15,38.25,0,8,,102687040,0,APPLE INC,,A
2014-03-03,2014-03-14,C,492500,33.7,35.95,0,2,,102707621,0,APPLE INC,,A
2014-03-03,2014-03-14,C,495000,31.35,33.05,1,43,,102707622,0,APPLE INC,,A
2014-03-03,2014-03-14,C,497500,28.95,30.65,2,2,,102707623,0,APPLE INC,,A
2014-03-03,2014-03-14,C,500000,27.4,28.35,67,122,0.158717,102687041,0,APPLE INC,,A
2014-03-03,2014-03-14,C,502500,24.25,26,5,23,,102707624,0,APPLE INC,,A
2014-03-03,2014-03-14,C,505000,22.35,23.7,1,54,0.157131,102707625,0,APPLE INC,,A
2014-03-03,2014-03-14,C,507500,20.45,21.55,8,20,0.182936,102707626,0,APPLE INC,,A
2014-03-03,2014-03-14,C,510000,19,19.35,67,147,0.202963,102687042,0,APPLE INC,,A
2014-03-03,2014-03-14,C,512500,16.95,17.3,10,40,0.203348,102707627,0,APPLE INC,,A
2014-03-03,2014-03-14,C,515000,15,15.35,174,486,0.203649,102707628,0,APPLE INC,,A
2014-03-03,2014-03-14,C,517500,13.2,13.45,54,401,0.203488,102707629,0,APPLE INC,,A
2014-03-03,2014-03-14,C,520000,11.5,11.75,556,1124,0.20425,102687043,0,APPLE INC,,A
2014-03-03,2014-03-14,C,522500,9.9,10.1,440,236,0.203294,102707630,0,APPLE INC,,A
2014-03-03,2014-03-14,C,525000,8.45,8.65,1431,904,0.203541,102707631,0,APPLE INC,,A
2014-03-03,2014-03-14,C,527500,7.2,7.35,562,921,0.204789,102707632,0,APPLE INC,,A
2014-03-03,2014-03-14,C,530000,5.95,6.15,1836,1031,0.203477,102687044,0,APPLE INC,,A
2014-03-03,2014-03-14,C,532500,4.95,5.05,375,433,0.203204,102707633,0,APPLE INC,,A
2014-03-03,2014-03-14,C,535000,4.05,4.15,1392,1073,0.203405,102707634,0,APPLE INC,,A
2014-03-03,2014-03-14,C,537500,3.25,3.35,420,1051,0.202782,102707635,0,APPLE INC,,A
2014-03-03,2014-03-14,C,540000,2.62,2.68,1607,1503,0.203196,102687045,0,APPLE INC,,A
2014-03-03,2014-03-14,C,542500,2.08,2.13,538,391,0.203571,102707636,0,APPLE INC,,A
2014-03-03,2014-03-14,C,545000,1.64,1.65,653,889,0.203562,102707637,0,APPLE INC,,A
2014-03-03,2014-03-14,C,547500,1.29,1.32,88,342,0.205326,102707638,0,APPLE INC,,A
2014-03-03,2014-03-14,C,550000,1,1.01,954,1398,0.205673,102687046,0,APPLE INC,,A
2014-03-03,2014-03-14,C,552500,0.78,0.8,60,459,0.20771,102707639,0,APPLE INC,,A
2014-03-03,2014-03-14,C,555000,0.61,0.63,556,265,0.209884,102878188,0,APPLE INC,,A
2014-03-03,2014-03-14,C,557500,0.47,0.49,18,93,0.211599,102878189,0,APPLE INC,,A
2014-03-03,2014-03-14,C,560000,0.37,0.39,450,709,0.214459,102687047,0,APPLE INC,,A
2014-03-03,2014-03-14,C,562500,0.3,0.31,222,4,0.21791,102878190,0,APPLE INC,,A
2014-03-03,2014-03-14,C,565000,0.24,0.25,352,68,0.221341,102878191,0,APPLE INC,,A
2014-03-03,2014-03-14,C,567500,0.2,0.21,64,0,0.226218,102878192,0,APPLE INC,,A
2014-03-03,2014-03-14,C,570000,0.16,0.17,129,554,0.229515,102687048,0,APPLE INC,,A
2014-03-03,2014-03-14,C,572500,0.14,0.15,12,0,0.235803,102878193,0,APPLE INC,,A
2014-03-03,2014-03-14,C,580000,0.1,0.11,135,505,0.255639,102687049,0,APPLE INC,,A
2014-03-03,2014-03-14,C,590000,0.05,0.15,0,391,0.293164,102687050,0,APPLE INC,,A
2014-03-03,2014-03-14,C,600000,0.04,0.15,10,361,0.328903,102687051,0,APPLE INC,,A
2014-03-03,2014-03-14,P,410000,0.01,0.13,0,61,0.590523,102687052,0,APPLE INC,,A
2014-03-03,2014-03-14,P,420000,0,0.09,0,25,0.514597,102687053,0,APPLE INC,,A
2014-03-03,2014-03-14,P,430000,0,0.14,0,35,0.48903,102687054,0,APPLE INC,,A
2014-03-03,2014-03-14,P,440000,0,0.15,0,0,0.442957,102687055,0,APPLE INC,,A
2014-03-03,2014-03-14,P,450000,0,0.15,10,24,0.393731,102687056,0,APPLE INC,,A
2014-03-03,2014-03-14,P,460000,0.02,0.15,0,24,0.350403,102687057,0,APPLE INC,,A
2014-03-03,2014-03-14,P,470000,0.09,0.1,43,127,0.305895,102687058,0,APPLE INC,,A
2014-03-03,2014-03-14,P,480000,0.16,0.17,72,181,0.277705,102687059,0,APPLE INC,,A
2014-03-03,2014-03-14,P,482500,0.19,0.2,0,15,0.271591,102707640,0,APPLE INC,,A
2014-03-03,2014-03-14,P,485000,0.23,0.24,22,153,0.266247,102707641,0,APPLE INC,,A
2014-03-03,2014-03-14,P,487500,0.27,0.28,41,119,0.25948,102707642,0,APPLE INC,,A
2014-03-03,2014-03-14,P,490000,0.33,0.34,124,377,0.254458,102687060,0,APPLE INC,,A
2014-03-03,2014-03-14,P,492500,0.39,0.41,114,217,0.248422,102707643,0,APPLE INC,,A
2014-03-03,2014-03-14,P,495000,0.47,0.49,150,653,0.242533,102707644,0,APPLE INC,,A
2014-03-03,2014-03-14,P,497500,0.58,0.6,58,323,0.237843,102707645,0,APPLE INC,,A
2014-03-03,2014-03-14,P,500000,0.71,0.74,472,1762,0.233139,102687061,0,APPLE INC,,A
2014-03-03,2014-03-14,P,502500,0.88,0.91,158,190,0.22877,102707646,0,APPLE INC,,A
2014-03-03,2014-03-14,P,505000,1.1,1.14,356,1527,0.225407,102707647,0,APPLE INC,,A
2014-03-03,2014-03-14,P,507500,1.38,1.43,150,203,0.222555,102707648,0,APPLE INC,,A
2014-03-03,2014-03-14,P,510000,1.73,1.79,515,862,0.22005,102687062,0,APPLE INC,,A
2014-03-03,2014-03-14,P,512500,2.17,2.24,351,415,0.218181,102707649,0,APPLE INC,,A
2014-03-03,2014-03-14,P,515000,2.72,2.79,620,897,0.216958,102707650,0,APPLE INC,,A
2014-03-03,2014-03-14,P,517500,3.4,3.45,554,329,0.21633,102707651,0,APPLE INC,,A
2014-03-03,2014-03-14,P,520000,4.15,4.25,530,965,0.215412,102687063,0,APPLE INC,,A
2014-03-03,2014-03-14,P,522500,5.05,5.15,359,398,0.214651,102707652,0,APPLE INC,,A
2014-03-03,2014-03-14,P,525000,6.05,6.2,711,906,0.213801,102707653,0,APPLE INC,,A
2014-03-03,2014-03-14,P,527500,7.25,7.45,349,302,0.214905,102707654,0,APPLE INC,,A
2014-03-03,2014-03-14,P,530000,8.55,8.85,546,683,0.215805,102687064,0,APPLE INC,,A
2014-03-03,2014-03-14,P,532500,10,10.3,30,189,0.215819,102707655,0,APPLE INC,,A
2014-03-03,2014-03-14,P,535000,11.55,11.85,101,252,0.215016,102707656,0,APPLE INC,,A
2014-03-03,2014-03-14,P,537500,13.25,13.6,26,128,0.215916,102707657,0,APPLE INC,,A
2014-03-03,2014-03-14,P,540000,15.05,15.4,91,393,0.215608,102687065,0,APPLE INC,,A
2014-03-03,2014-03-14,P,542500,17.1,18,31,80,0.230984,102707658,0,APPLE INC,,A
2014-03-03,2014-03-14,P,545000,19.15,20.25,19,139,0.23815,102707659,0,APPLE INC,,A
2014-03-03,2014-03-14,P,547500,21.2,22.65,20,17,0.24632,102707660,0,APPLE INC,,A
2014-03-03,2014-03-14,P,550000,23.45,24.6,9,193,0.246852,102687066,0,APPLE INC,,A
2014-03-03,2014-03-14,P,552500,25.7,27.3,2,34,0.263152,102707661,0,APPLE INC,,A
2014-03-03,2014-03-14,P,555000,28,29.6,5,6,0.269913,102878194,0,APPLE INC,,A
2014-03-03,2014-03-14,P,557500,30.35,32,0,0,0.279343,102878195,0,APPLE INC,,A
2014-03-03,2014-03-14,P,560000,32.5,34.5,0,34,0.284722,102687067,0,APPLE INC,,A
2014-03-03,2014-03-14,P,562500,35,36.9,0,0,0.296771,102878196,0,APPLE INC,,A
2014-03-03,2014-03-14,P,565000,37.3,39.3,0,1,0.301397,102878197,0,APPLE INC,,A
2014-03-03,2014-03-14,P,567500,40,41.75,0,0,0.321128,102878198,0,APPLE INC,,A
2014-03-03,2014-03-14,P,570000,42.25,44.25,4,34,0.326148,102687068,0,APPLE INC,,A
2014-03-03,2014-03-14,P,572500,45,46.75,0,0,0.349536,102878199,0,APPLE INC,,A
2014-03-03,2014-03-14,P,580000,52.2,54.15,0,19,0.374117,102687069,0,APPLE INC,,A
2014-03-03,2014-03-14,P,590000,62.15,64.15,0,6,0.423009,102687070,0,APPLE INC,,A
2014-03-03,2014-03-14,P,600000,72.1,74.1,0,8,0.466783,102687071,0,APPLE INC,,A
2014-03-03,2014-03-22,C,260000,266.05,268.05,20,0,,102179530,0,APPLE INC,,A
2014-03-03,2014-03-22,C,265000,261.05,263.4,0,0,,102179531,0,APPLE INC,,A
2014-03-03,2014-03-22,C,270000,256.05,258.6,0,0,,102179532,0,APPLE INC,,A
2014-03-03,2014-03-22,C,275000,251.05,253.35,0,0,,102179533,0,APPLE INC,,A
2014-03-03,2014-03-22,C,280000,246,248.35,0,0,,102077338,0,APPLE INC,,A
2014-03-03,2014-03-22,C,285000,241.05,243.6,0,2,,102077339,0,APPLE INC,,A
2014-03-03,2014-03-22,C,290000,236.05,238.5,0,0,,102077340,0,APPLE INC,,A
2014-03-03,2014-03-22,C,295000,231.05,233.6,0,0,,102077341,0,APPLE INC,,A
2014-03-03,2014-03-22,C,300000,226.05,228.6,0,19,,102077342,0,APPLE INC,,A
2014-03-03,2014-03-22,C,305000,221,223.1,0,0,,102077343,0,APPLE INC,,A
2014-03-03,2014-03-22,C,310000,216.05,218.45,0,0,,102077344,0,APPLE INC,,A
2014-03-03,2014-03-22,C,315000,211.05,213.7,0,2,,102077345,0,APPLE INC,,A
2014-03-03,2014-03-22,C,320000,206,208.1,0,0,,102077346,0,APPLE INC,,A
2014-03-03,2014-03-22,C,325000,201.05,203.7,0,0,,102077347,0,APPLE INC,,A
2014-03-03,2014-03-22,C,330000,196,198.2,0,0,,102077348,0,APPLE INC,,A
2014-03-03,2014-03-22,C,335000,191.05,193.7,0,0,,102077349,0,APPLE INC,,A
2014-03-03,2014-03-22,C,340000,186.05,187.95,0,0,,102077350,0,APPLE INC,,A
2014-03-03,2014-03-22,C,345000,181.05,183.5,0,1,,102077351,0,APPLE INC,,A
2014-03-03,2014-03-22,C,350000,176.05,178.5,0,3,,102077352,0,APPLE INC,,A
2014-03-03,2014-03-22,C,355000,171.05,173.5,0,0,,102077353,0,APPLE INC,,A
2014-03-03,2014-03-22,C,360000,166.05,168.45,0,0,,102077354,0,APPLE INC,,A
2014-03-03,2014-03-22,C,365000,161.05,163.45,0,0,,102077355,0,APPLE INC,,A
2014-03-03,2014-03-22,C,370000,156.05,158.5,0,0,,102077356,0,APPLE INC,,A
2014-03-03,2014-03-22,C,375000,151.05,153.55,0,1,,102077357,0,APPLE INC,,A
2014-03-03,2014-03-22,C,380000,146.05,148.7,0,0,,102077358,0,APPLE INC,,A
2014-03-03,2014-03-22,C,385000,141.05,143.65,0,0,,102077359,0,APPLE INC,,A
2014-03-03,2014-03-22,C,390000,136.05,138.65,0,0,,102077360,0,APPLE INC,,A
2014-03-03,2014-03-22,C,395000,131.1,133.65,0,0,,102077361,0,APPLE INC,,A
2014-03-03,2014-03-22,C,400000,126.1,127.65,5,169,,102077362,0,APPLE INC,,A
2014-03-03,2014-03-22,C,405000,121.15,123.05,0,4,,102077363,0,APPLE INC,,A
2014-03-03,2014-03-22,C,410000,116.15,118,0,1,,102077364,0,APPLE INC,,A
2014-03-03,2014-03-22,C,415000,111.05,112.95,0,5,,102077365,0,APPLE INC,,A
2014-03-03,2014-03-22,C,420000,106.05,108.1,0,11,,102077366,0,APPLE INC,,A
2014-03-03,2014-03-22,C,425000,101.15,102.8,0,8,,102077367,0,APPLE INC,,A
2014-03-03,2014-03-22,C,430000,96.1,97.9,0,63,,102077368,0,APPLE INC,,A
2014-03-03,2014-03-22,C,435000,91.15,92.9,0,5,,102077369,0,APPLE INC,,A
2014-03-03,2014-03-22,C,440000,86.15,87.75,0,67,,102077370,0,APPLE INC,,A
2014-03-03,2014-03-22,C,445000,81.1,82.9,0,37,,102077371,0,APPLE INC,,A
2014-03-03,2014-03-22,C,450000,76.1,77.8,0,455,,102077372,0,APPLE INC,,A
2014-03-03,2014-03-22,C,455000,71.15,72.85,0,75,,102077373,0,APPLE INC,,A
2014-03-03,2014-03-22,C,460000,66.2,67.8,3,288,,102077374,0,APPLE INC,,A
2014-03-03,2014-03-22,C,465000,61.2,62.9,1,227,,102077375,0,APPLE INC,,A
2014-03-03,2014-03-22,C,470000,57.4,58,4,544,,102077376,0,APPLE INC,,A
2014-03-03,2014-03-22,C,475000,51.25,53.15,2,400,,102077377,0,APPLE INC,,A
2014-03-03,2014-03-22,C,480000,46.35,47.95,82,962,,102077378,0,APPLE INC,,A
2014-03-03,2014-03-22,C,485000,42,43.2,17,300,,102077379,0,APPLE INC,,A
2014-03-03,2014-03-22,C,490000,37.4,38.4,18,622,0.157293,102077380,0,APPLE INC,,A
2014-03-03,2014-03-22,C,495000,32.6,33.65,30,1288,0.167883,102077381,0,APPLE INC,,A
2014-03-03,2014-03-22,C,500000,28.6,29.2,401,4909,0.193996,102077382,0,APPLE INC,,A
2014-03-03,2014-03-22,C,505000,24.5,24.8,119,2019,0.197254,102077383,0,APPLE INC,,A
2014-03-03,2014-03-22,C,510000,20.45,20.85,269,3203,0.19846,102077384,0,APPLE INC,,A
2014-03-03,2014-03-22,C,515000,16.75,17,887,2637,0.196587,102077385,0,APPLE INC,,A
2014-03-03,2014-03-22,C,520000,13.5,13.7,1746,7434,0.197824,102077386,0,APPLE INC,,A
2014-03-03,2014-03-22,C,525000,10.55,10.7,3225,5831,0.19643,102077387,0,APPLE INC,,A
2014-03-03,2014-03-22,C,530000,8.1,8.25,3068,7957,0.197119,102077388,0,APPLE INC,,A
2014-03-03,2014-03-22,C,535000,6.05,6.15,2254,5696,0.196711,102077389,0,APPLE INC,,A
2014-03-03,2014-03-22,C,540000,4.4,4.45,3121,8762,0.196187,102077390,0,APPLE INC,,A
2014-03-03,2014-03-22,C,545000,3.1,3.2,2197,5705,0.196524,102077391,0,APPLE INC,,A
2014-03-03,2014-03-22,C,550000,2.2,2.25,3798,15467,0.198136,102077392,0,APPLE INC,,A
2014-03-03,2014-03-22,C,555000,1.53,1.58,988,5103,0.200256,102077393,0,APPLE INC,,A
2014-03-03,2014-03-22,C,560000,1.07,1.11,511,8346,0.203339,102077394,0,APPLE INC,,A
2014-03-03,2014-03-22,C,565000,0.77,0.8,564,4785,0.208148,102077395,0,APPLE INC,,A
2014-03-03,2014-03-22,C,570000,0.58,0.6,1312,6870,0.214801,102077396,0,APPLE INC,,A
2014-03-03,2014-03-22,C,575000,0.44,0.46,271,5968,0.221741,102077397,0,APPLE INC,,A
2014-03-03,2014-03-22,C,580000,0.35,0.36,381,17800,0.229635,102077398,0,APPLE INC,,A
2014-03-03,2014-03-22,C,585000,0.28,0.29,68,3020,0.237744,102077399,0,APPLE INC,,A
2014-03-03,2014-03-22,C,590000,0.23,0.24,81,10414,0.246381,102077400,0,APPLE INC,,A
2014-03-03,2014-03-22,C,595000,0.2,0.21,122,1614,0.256682,102077401,0,APPLE INC,,A
2014-03-03,2014-03-22,C,600000,0.17,0.19,451,11938,0.266753,102077402,0,APPLE INC,,A
2014-03-03,2014-03-22,C,605000,0.15,0.16,25,1233,0.275664,102077403,0,APPLE INC,,A
2014-03-03,2014-03-22,C,610000,0.13,0.14,25,1881,0.284622,102077404,0,APPLE INC,,A
2014-03-03,2014-03-22,C,615000,0.11,0.12,58,1338,0.292393,102077405,0,APPLE INC,,A
2014-03-03,2014-03-22,C,620000,0.09,0.1,206,1720,0.298725,102077406,0,APPLE INC,,A
2014-03-03,2014-03-22,C,625000,0.08,0.09,58,1439,0.307636,102077407,0,APPLE INC,,A
2014-03-03,2014-03-22,C,630000,0.07,0.08,6,1142,0.315758,102077408,0,APPLE INC,,A
2014-03-03,2014-03-22,C,635000,0.06,0.07,11,1890,0.322959,102077409,0,APPLE INC,,A
